"Loc" "Lat" "Lon"
150 38.9615287780762 -123.557899475098
151 39.2415008544922 -123.639297485352
152 39.5216293334961 -123.721496582031
153 39.801929473877 -123.804496765137
154 40.0823783874512 -123.888298034668
155 40.362979888916 -123.972900390625
156 40.6437187194824 -124.058403015137
157 40.9245910644531 -124.14469909668
248 38.4637298583984 -123.040298461914
249 38.7436981201172 -123.118499755859
250 39.0238494873047 -123.19750213623
251 39.3041801452637 -123.277297973633
252 39.5846710205078 -123.357803344727
253 39.8653297424316 -123.439102172852
254 40.1461410522461 -123.521202087402
255 40.4271011352539 -123.604103088379
256 40.7082099914551 -123.687896728516
257 40.9894409179688 -123.772499084473
258 41.270809173584 -123.857902526855
259 41.5522994995117 -123.944198608398
260 41.833911895752 -124.031303405762
261 42.1156196594238 -124.119400024414
262 42.3974304199219 -124.208297729492
263 42.679328918457 -124.298202514648
264 42.9613304138184 -124.388999938965
345 37.6842613220215 -122.457099914551
346 37.963981628418 -122.53150177002
347 38.2439002990723 -122.60669708252
348 38.5240287780762 -122.682502746582
349 38.8043403625488 -122.759101867676
350 39.0848388671875 -122.836402893066
351 39.3655090332031 -122.914497375488
352 39.6463508605957 -122.993301391602
353 39.927360534668 -123.072998046875
354 40.2085304260254 -123.153396606445
355 40.4898490905762 -123.234596252441
356 40.7713088989258 -123.316596984863
357 41.0529098510742 -123.399398803711
358 41.3346405029297 -123.483001708984
359 41.6164894104004 -123.567497253418
360 41.8984718322754 -123.652900695801
361 42.180549621582 -123.739097595215
362 42.4627304077148 -123.826202392578
363 42.7450103759766 -123.914199829102
364 43.0273818969727 -124.00309753418
365 43.3098297119141 -124.092903137207
440 36.3452415466309 -121.749397277832
441 36.6241798400879 -121.818901062012
443 37.1827507019043 -121.959800720215
444 37.4623794555664 -122.031303405762
445 37.7422294616699 -122.103401184082
446 38.0222816467285 -122.176200866699
447 38.3025283813477 -122.249702453613
448 38.5829887390137 -122.323997497559
449 38.863639831543 -122.398902893066
450 39.1444816589355 -122.474601745605
451 39.4254913330078 -122.551002502441
452 39.7066802978516 -122.62809753418
453 39.9880294799805 -122.706001281738
454 40.2695388793945 -122.784698486328
455 40.5512084960938 -122.864196777344
456 40.8330307006836 -122.944396972656
457 41.1149711608887 -123.025497436523
458 41.3970603942871 -123.107299804688
459 41.6792793273926 -123.190002441406
460 41.9616088867188 -123.273498535156
461 42.2440490722656 -123.357902526855
462 42.5265998840332 -123.443199157715
463 42.8092384338379 -123.529296875
464 43.0919799804688 -123.616302490234
465 43.3748092651367 -123.704299926758
466 43.6577110290527 -123.793098449707
467 43.9406700134277 -123.88289642334
468 44.2237014770508 -123.973602294922
538 35.842529296875 -121.268898010254
539 36.1212997436523 -121.335601806641
540 36.4003105163574 -121.402900695801
541 36.6795616149902 -121.470901489258
542 36.9590492248535 -121.539398193359
543 37.23876953125 -121.608703613281
544 37.5187110900879 -121.678497314453
545 37.7988815307617 -121.749000549316
546 38.0792503356934 -121.820297241211
547 38.3598403930664 -121.892097473145
548 38.6406211853027 -121.964698791504
549 38.9216003417969 -122.03800201416
550 39.2027702331543 -122.111999511719
551 39.4841194152832 -122.186698913574
552 39.7656288146973 -122.262100219727
553 40.0473289489746 -122.338302612305
554 40.3291816711426 -122.415298461914
555 40.6111907958984 -122.49299621582
556 40.8933410644531 -122.571403503418
557 41.1756401062012 -122.650703430176
558 41.4580688476562 -122.730796813965
559 41.7406387329102 -122.811698913574
560 42.0233306884766 -122.893402099609
561 42.3061218261719 -122.975898742676
562 42.5890312194824 -123.059303283691
563 42.8720283508301 -123.143501281738
564 43.1551284790039 -123.22859954834
565 43.4383201599121 -123.314697265625
566 43.7215805053711 -123.40160369873
567 44.0049209594727 -123.489402770996
568 44.2883110046387 -123.578102111816
569 44.5717697143555 -123.66780090332
570 44.855281829834 -123.758499145508
571 45.1388206481934 -123.85009765625
637 35.6168899536133 -120.860298156738
638 35.8957099914551 -120.924896240234
639 36.1747817993164 -120.990097045898
640 36.4540901184082 -121.055801391602
641 36.7336502075195 -121.122200012207
642 37.0134391784668 -121.18920135498
643 37.2934799194336 -121.256797790527
644 37.57373046875 -121.325103759766
645 37.8542213439941 -121.393997192383
646 38.1349105834961 -121.463600158691
647 38.4158096313477 -121.533798217773
648 38.6969108581543 -121.604797363281
649 38.9782104492188 -121.676399230957
650 39.2597007751465 -121.74870300293
651 39.5413703918457 -121.821701049805
652 39.8232192993164 -121.895401000977
653 40.1052513122559 -121.969902038574
654 40.3874282836914 -122.045097351074
655 40.6697807312012 -122.121002197266
656 40.9522705078125 -122.197700500488
657 41.2349014282227 -122.275199890137
658 41.5176696777344 -122.353401184082
659 41.8005790710449 -122.432502746582
660 42.083610534668 -122.512298583984
661 42.3667602539062 -122.593002319336
662 42.6500091552734 -122.674499511719
663 42.9333610534668 -122.756896972656
664 43.2168197631836 -122.840103149414
665 43.5003700256348 -122.924102783203
666 43.7839889526367 -123.009101867676
667 44.0676803588867 -123.095001220703
668 44.3514404296875 -123.181701660156
669 44.6352615356445 -123.269401550293
670 44.9191398620605 -123.358100891113
671 45.2030487060547 -123.447700500488
672 45.4869995117188 -123.538200378418
673 45.7709808349609 -123.62979888916
674 46.054988861084 -123.722297668457
675 46.3390007019043 -123.815902709961
676 46.6230201721191 -123.910499572754
678 47.1910514831543 -124.102897644043
679 47.475040435791 -124.200698852539
680 47.7589988708496 -124.299598693848
681 48.0429191589355 -124.399597167969
682 48.3268089294434 -124.500801086426
733 34.5547714233398 -120.270797729492
734 34.8327903747559 -120.331596374512
735 35.1110916137695 -120.39289855957
736 35.3896598815918 -120.454803466797
737 35.6684989929199 -120.517196655273
738 35.9476089477539 -120.580299377441
739 36.2269706726074 -120.643898010254
740 36.5065803527832 -120.708099365234
741 36.7864418029785 -120.772903442383
742 37.0665397644043 -120.838302612305
743 37.3468818664551 -120.904403686523
